,DateTime,Comp,Saison,Round,Day,Team Home,GF_Home,GF_Away,Team Away,Result,Predicted_Result,Prediction_Probability_Result,Predicted_Minus 2.5 Goals,Prediction_Probability_Minus 2.5 Goals,MatchID
0,2024-10-20 20:45:00,Ligue 1,2024-2025,8,Sun,Montpellier,,,Marseille,,W_Away,0.34,1.0,0.51,2024-10-20 20:45:00-Marseille-vs-Montpellier
1,2024-10-20 17:00:00,Ligue 1,2024-2025,8,Sun,Toulouse,,,Angers,,W_Home,0.39,0.0,0.6,2024-10-20 17:00:00-Angers-vs-Toulouse
2,2024-10-20 17:00:00,Ligue 1,2024-2025,8,Sun,Auxerre,,,Reims,,W_Home,0.39,0.0,0.52,2024-10-20 17:00:00-Auxerre-vs-Reims
3,2024-10-20 17:00:00,Ligue 1,2024-2025,8,Sun,Nantes,,,Nice,,D,0.36,1.0,0.54,2024-10-20 17:00:00-Nantes-vs-Nice
4,2024-10-20 15:00:00,Ligue 1,2024-2025,8,Sun,Le Havre,,,Lyon,,W_Away,0.56,1.0,0.52,2024-10-20 15:00:00-Le Havre-vs-Lyon
5,2024-10-19 21:00:00,Ligue 1,2024-2025,8,Sat,Paris Saint Germain,,,Strasbourg,,W_Home,0.61,0.0,0.73,2024-10-19 21:00:00-Paris Saint Germain-vs-Strasbourg
6,2024-10-19 19:00:00,Ligue 1,2024-2025,8,Sat,Saint-Étienne,,,Lens,,W_Away,0.43,0.0,0.51,2024-10-19 19:00:00-Lens-vs-Saint-Étienne
7,2024-10-19 17:00:00,Ligue 1,2024-2025,8,Sat,Brest,,,Rennes,,W_Away,0.39,1.0,0.53,2024-10-19 17:00:00-Brest-vs-Rennes
8,2024-10-18 20:45:00,Ligue 1,2024-2025,8,Fri,Monaco,,,Lille,,W_Home,0.46,0.0,0.54,2024-10-18 20:45:00-Lille-vs-Monaco
9,2024-10-06 20:45:00,Ligue 1,2024-2025,7,Sun,Nice,1.0,1.0,Paris Saint Germain,D,W_Away,0.49,0.0,0.55,2024-10-06 20:45:00-Nice-vs-Paris Saint Germain
