,DateTime,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
25,2024-01-14 20:45:00,Ligue 1,18,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,Paris Saint Germain
62,2024-01-13 21:00:00,Ligue 1,18,Sat,Away,,,,Rennes,,,,,,,,Head-to-Head,,Nice
97,2024-01-13 17:00:00,Ligue 1,18,Sat,Home,,,,Reims,,,,,,,,Head-to-Head,,Monaco
132,2024-01-14 15:00:00,Ligue 1,18,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,Brest
175,2024-01-14 13:00:00,Ligue 1,18,Sun,Home,,,,Lorient,,,,,,,,Head-to-Head,,Lille
218,2024-01-12 21:00:00,Ligue 1,18,Fri,Home,,,,Strasbourg,,,,,,,,Head-to-Head,,Marseille
262,2024-01-14 20:45:00,Ligue 1,18,Sun,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,Lens
299,2024-01-13 17:00:00,Ligue 1,18,Sat,Away,,,,Monaco,,,,,,,,Head-to-Head,,Reims
334,2024-01-12 21:00:00,Ligue 1,18,Fri,Away,,,,Marseille,,,,,,,,Head-to-Head,,Strasbourg
375,2024-01-13 21:00:00,Ligue 1,18,Sat,Home,,,,Nice,,,,,,,,Head-to-Head,,Rennes
412,2024-01-14 15:00:00,Ligue 1,18,Sun,Away,,,,Brest,,,,,,,,Head-to-Head,,Montpellier
447,2024-01-14 17:05:00,Ligue 1,18,Sun,Home,,,,Lyon,,,,,,,,Head-to-Head,,Le Havre
482,2024-01-14 15:00:00,Ligue 1,18,Sun,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,Nantes
517,2024-01-14 17:05:00,Ligue 1,18,Sun,Away,,,,Le Havre,,,,,,,,Head-to-Head,,Lyon
552,2024-01-14 15:00:00,Ligue 1,18,Sun,Home,,,,Toulouse,,,,,,,,Head-to-Head,,Metz
594,2024-01-14 15:00:00,Ligue 1,18,Sun,Away,,,,Metz,,,,,,,,Head-to-Head,,Toulouse
631,2024-01-14 13:00:00,Ligue 1,18,Sun,Away,,,,Lille,,,,,,,,Head-to-Head,,Lorient
666,2024-01-14 15:00:00,Ligue 1,18,Sun,Away,,,,Nantes,,,,,,,,Head-to-Head,,Clermont Foot
