,DateTime,Comp,Saison,Round,Day,Team Home,Team Away,Result,Predicted_Result,Prediction_Probability,MatchID
1935,2023-12-17 20:45:00,Ligue 1,2023-2024,16,Sun,Lille,Paris Saint Germain,,W_Away,0.53,2023-12-17 20:45:00-Lille-vs-Paris Saint Germain
1936,2023-12-17 17:05:00,Ligue 1,2023-2024,16,Sun,Marseille,Clermont Foot,,W_Home,0.44,2023-12-17 17:05:00-Clermont Foot-vs-Marseille
1939,2023-12-17 13:00:00,Ligue 1,2023-2024,16,Sun,Nantes,Brest,,W_Away,0.4,2023-12-17 13:00:00-Brest-vs-Nantes
1940,2023-12-17 15:00:00,Ligue 1,2023-2024,16,Sun,Metz,Montpellier,,W_Home,0.41,2023-12-17 15:00:00-Metz-vs-Montpellier
1941,2023-12-17 15:00:00,Ligue 1,2023-2024,16,Sun,Toulouse,Rennes,,W_Away,0.46,2023-12-17 15:00:00-Rennes-vs-Toulouse
1942,2023-12-17 15:00:00,Ligue 1,2023-2024,16,Sun,Lorient,Strasbourg,,D,0.4,2023-12-17 15:00:00-Lorient-vs-Strasbourg
1943,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Paris Saint Germain,Metz,,W_Home,0.72,2023-12-20 21:00:00-Metz-vs-Paris Saint Germain
1944,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Nice,Lens,,W_Home,0.45,2023-12-20 21:00:00-Lens-vs-Nice
1945,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Brest,Lorient,,W_Home,0.49,2023-12-20 21:00:00-Brest-vs-Lorient
1946,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Reims,Le Havre,,D,0.44,2023-12-20 21:00:00-Le Havre-vs-Reims
1947,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Strasbourg,Lille,,D,0.42,2023-12-20 21:00:00-Lille-vs-Strasbourg
1948,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Montpellier,Marseille,,D,0.44,2023-12-20 21:00:00-Marseille-vs-Montpellier
1949,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Lyon,Nantes,,W_Home,0.58,2023-12-20 21:00:00-Lyon-vs-Nantes
1950,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Toulouse,Monaco,,W_Away,0.55,2023-12-20 21:00:00-Monaco-vs-Toulouse
1951,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Clermont Foot,Rennes,,W_Away,0.47,2023-12-20 21:00:00-Clermont Foot-vs-Rennes
