,DateTime,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Total Shots,Shots on Target,Shots on Target %,Goals per Shot,Total Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Midfield Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Dribbles Attempted,Successful Dribbles,Successful Dribble %,Total Carries,Total Carry Distance,Progressive Carry Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Midfield Third,Tackles in Attacking Third,Dribblers Tackled,Total Dribbles Against,Defensive Dribblers Win %,Interceptions,Errors Leading to Goal,Key Passes,Passes Completed,Passes Attempted,Passes into Final Third,Progressive Passes,Shots on Target Against,Keeper Saves,Keeper Save Percentage,Saison,MatchID,GD,Points,Points_Cum,GD_Cum,GF_Cum,GA_Cum,Classement,Past_Matches,IsWin,IsDraw,IsLoss,CumulativeWins,CumulativeDraws,CumulativeLosses,Points_Cum_Lag1,GD_Cum_Lag1,GF_Cum_Lag1,GA_Cum_Lag1,Classement_Lag1,CumulativeWins_Lag1,CumulativeDraws_Lag1,CumulativeLosses_Lag1,Moyenne_Total Shots_Lag,Moyenne_Shots on Target_Lag,Moyenne_Shots on Target %_Lag,Moyenne_Goals per Shot_Lag,Moyenne_Total Touches_Lag,Moyenne_Touches in Defensive Penalty Area_Lag,Moyenne_Touches in Defensive Third_Lag,Moyenne_Touches in Midfield Third_Lag,Moyenne_Touches in Attacking Third_Lag,Moyenne_Touches in Attacking Penalty Area_Lag,Moyenne_Dribbles Attempted_Lag,Moyenne_Successful Dribbles_Lag,Moyenne_Successful Dribble %_Lag,Moyenne_Total Carries_Lag,Moyenne_Total Carry Distance_Lag,Moyenne_Progressive Carry Distance_Lag,Moyenne_Progressive Carries_Lag,Moyenne_Carries into Final Third_Lag,Moyenne_Carries into Penalty Area_Lag,Moyenne_Tackles_Lag,Moyenne_Tackles Won_Lag,Moyenne_Tackles in Defensive Third_Lag,Moyenne_Tackles in Midfield Third_Lag,Moyenne_Tackles in Attacking Third_Lag,Moyenne_Dribblers Tackled_Lag,Moyenne_Total Dribbles Against_Lag,Moyenne_Defensive Dribblers Win %_Lag,Moyenne_Interceptions_Lag,Moyenne_Errors Leading to Goal_Lag,Moyenne_Key Passes_Lag,Moyenne_Passes Completed_Lag,Moyenne_Passes Attempted_Lag,Moyenne_Passes into Final Third_Lag,Moyenne_Progressive Passes_Lag,Moyenne_Shots on Target Against_Lag,Moyenne_Keeper Saves_Lag,Moyenne_Keeper Save Percentage_Lag
0,2018-08-12 15:00:00,Ligue 1,1,Sun,Away,L,0,2,Lyon,48263.0,Régis Gurtner,4-3-3,Franck Schneider,Match Report,,Amiens,10.0,1.0,10.0,0.0,414.0,49.0,152.0,195.0,73.0,6.0,13.0,8.0,61.5,198.0,1296.0,710.0,14.0,10.0,2.0,23.0,8.0,14.0,7.0,2.0,12.0,28.0,42.9,14.0,0.0,7.0,216.0,301.0,18.0,26.0,7.0,5.0,71.4,2018-2019,Amiens_Lyon,-2,0,0,-2,0,2,15,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018-08-18 20:00:00,Ligue 1,2,Sat,Home,L,1,2,Montpellier,10402.0,Prince-Désir Gouano,4-2-3-1,Karim Abed,Match Report,,Amiens,10.0,1.0,10.0,0.0,609.0,35.0,156.0,329.0,130.0,19.0,8.0,7.0,87.5,388.0,2447.0,1283.0,34.0,10.0,2.0,14.0,7.0,9.0,4.0,1.0,4.0,10.0,40.0,13.0,0.0,5.0,415.0,524.0,34.0,38.0,3.0,1.0,33.3,2018-2019,Amiens_Montpellier,-1,0,0,-3,1,4,17,0,0,0,1,0,0,1,0.0,-2.0,0.0,2.0,15.0,,,,10.0,1.0,10.0,0.0,414.0,49.0,152.0,195.0,73.0,6.0,13.0,8.0,61.5,198.0,1296.0,710.0,14.0,10.0,2.0,23.0,8.0,14.0,7.0,2.0,12.0,28.0,42.9,14.0,0.0,7.0,216.0,301.0,18.0,26.0,7.0,5.0,71.4
2,2018-08-25 20:00:00,Ligue 1,3,Sat,Home,W,4,1,Reims,10709.0,Régis Gurtner,4-2-3-1,Florent Batta,Match Report,,Amiens,14.0,8.0,57.1,0.29,658.0,37.0,179.0,340.0,147.0,19.0,13.0,8.0,61.5,431.0,2343.0,1200.0,30.0,18.0,5.0,14.0,7.0,4.0,5.0,5.0,9.0,17.0,52.9,7.0,0.0,11.0,489.0,581.0,32.0,47.0,3.0,2.0,66.7,2018-2019,Amiens_Reims,3,3,3,0,5,5,14,0,1,0,0,1,0,0,0.0,-3.0,1.0,4.0,17.0,,,,10.0,1.0,10.0,0.0,511.5,42.0,154.0,262.0,101.5,12.5,10.5,7.5,74.5,293.0,1871.5,996.5,24.0,10.0,2.0,18.5,7.5,11.5,5.5,1.5,8.0,19.0,41.45,13.5,0.0,6.0,315.5,412.5,26.0,32.0,5.0,3.0,52.35
3,2018-09-02 15:00:00,Ligue 1,4,Sun,Away,D,0,0,Saint-Étienne,30146.0,Régis Gurtner,4-3-3,Thomas Léonard,Match Report,,Amiens,9.0,2.0,22.2,0.0,454.0,75.0,197.0,181.0,82.0,10.0,12.0,6.0,50.0,211.0,1247.0,672.0,14.0,7.0,3.0,6.0,3.0,4.0,1.0,1.0,1.0,7.0,14.3,14.0,0.0,9.0,232.0,327.0,29.0,25.0,5.0,5.0,100.0,2018-2019,Amiens_Saint-Étienne,0,1,4,0,5,5,13,0,0,1,0,0,1,0,3.0,0.0,5.0,5.0,14.0,,,,11.333333333333334,3.3333333333333335,25.7,0.09666666666666666,560.3333333333334,40.333333333333336,162.33333333333334,288.0,116.66666666666667,14.666666666666666,11.333333333333334,7.666666666666667,70.16666666666667,339.0,2028.6666666666667,1064.3333333333333,26.0,12.666666666666666,3.0,17.0,7.333333333333333,9.0,5.333333333333333,2.6666666666666665,8.333333333333334,18.333333333333332,45.26666666666667,11.333333333333334,0.0,7.666666666666667,373.3333333333333,468.6666666666667,28.0,37.0,4.333333333333333,2.6666666666666665,57.13333333333333
4,2018-09-15 20:00:00,Ligue 1,5,Sat,Home,L,2,3,Lille,11569.0,Régis Gurtner,4-3-3,Nicolas Rainville,Match Report,,Amiens,7.0,3.0,42.9,0.29,521.0,53.0,178.0,274.0,73.0,10.0,5.0,4.0,80.0,253.0,1327.0,655.0,11.0,2.0,2.0,19.0,14.0,11.0,6.0,2.0,7.0,12.0,58.3,9.0,0.0,6.0,308.0,434.0,17.0,32.0,9.0,6.0,88.9,2018-2019,Amiens_Lille,-1,0,4,-1,7,8,18,0,0,0,1,0,0,1,4.0,0.0,5.0,5.0,13.0,,,,10.75,3.0,24.825,0.0725,533.75,49.0,171.0,261.25,108.0,13.5,11.5,7.25,65.125,307.0,1833.25,966.25,23.0,11.25,3.0,14.25,6.25,7.75,4.25,2.25,6.5,15.5,37.525,12.0,0.0,8.0,338.0,433.25,28.25,34.0,4.5,3.25,67.85
5,2018-09-22 20:00:00,Ligue 1,6,Sat,Away,L,1,3,Strasbourg,24683.0,Régis Gurtner,4-2-3-1,Jeremy Stinat,Match Report,,Amiens,8.0,3.0,37.5,0.13,555.0,46.0,152.0,308.0,96.0,12.0,11.0,4.0,36.4,254.0,1608.0,865.0,22.0,13.0,3.0,19.0,13.0,11.0,7.0,1.0,5.0,12.0,41.7,16.0,1.0,5.0,347.0,450.0,31.0,19.0,6.0,4.0,50.0,2018-2019,Amiens_Strasbourg,-2,0,4,-3,8,11,19,0,0,0,1,0,0,1,4.0,-1.0,7.0,8.0,18.0,,,,10.0,3.0,28.439999999999998,0.11599999999999999,531.2,49.8,172.4,263.8,101.0,12.8,10.2,6.6,68.1,296.2,1732.0,904.0,20.6,9.4,2.8,15.2,7.8,8.4,4.6,2.2,6.6,14.8,41.67999999999999,11.4,0.0,7.6,332.0,433.4,26.0,33.6,5.4,3.8,72.06
6,2018-09-26 19:00:00,Ligue 1,7,Wed,Home,W,2,1,Rennes,10398.0,Prince-Désir Gouano,4-3-3,Johan Hamel,Match Report,,Amiens,12.0,3.0,25.0,0.17,498.0,53.0,169.0,241.0,94.0,12.0,10.0,5.0,50.0,244.0,1187.0,528.0,10.0,5.0,5.0,18.0,9.0,9.0,8.0,1.0,5.0,18.0,27.8,9.0,2.0,6.0,277.0,390.0,19.0,25.0,2.0,1.0,50.0,2018-2019,Amiens_Rennes,1,3,7,-2,10,12,15,0,1,0,0,1,0,0,4.0,-3.0,8.0,11.0,19.0,,,,9.666666666666666,3.0,29.95,0.11833333333333333,535.1666666666666,49.166666666666664,169.0,271.1666666666667,100.16666666666667,12.666666666666666,10.333333333333334,6.166666666666667,62.81666666666666,289.1666666666667,1711.3333333333333,897.5,20.833333333333332,10.0,2.8333333333333335,15.833333333333334,8.666666666666666,8.833333333333334,5.0,2.0,6.333333333333333,14.333333333333334,41.68333333333333,12.166666666666666,0.16666666666666666,7.166666666666667,334.5,436.1666666666667,26.833333333333332,31.166666666666668,5.5,3.8333333333333335,68.38333333333334
7,2018-09-29 20:00:00,Ligue 1,8,Sat,Away,L,0,1,Caen,15007.0,Régis Gurtner,4-2-3-1,Benoît Bastien,Match Report,,Amiens,7.0,2.0,28.6,0.0,559.0,65.0,185.0,244.0,141.0,12.0,12.0,8.0,66.7,285.0,1630.0,864.0,17.0,16.0,0.0,8.0,6.0,5.0,1.0,2.0,3.0,9.0,33.3,12.0,0.0,6.0,326.0,454.0,32.0,36.0,4.0,3.0,100.0,2018-2019,Amiens_Caen,-1,0,7,-3,10,13,17,0,0,0,1,0,0,1,7.0,-2.0,10.0,12.0,15.0,,,,10.0,3.0,29.24285714285714,0.12571428571428572,529.8571428571429,49.714285714285715,169.0,266.85714285714283,99.28571428571429,12.571428571428571,10.285714285714286,6.0,60.98571428571428,282.7142857142857,1636.4285714285713,844.7142857142857,19.285714285714285,9.285714285714286,3.142857142857143,16.142857142857142,8.714285714285714,8.857142857142858,5.428571428571429,1.8571428571428572,6.142857142857143,14.857142857142858,39.699999999999996,11.714285714285714,0.42857142857142855,7.0,326.2857142857143,429.57142857142856,25.714285714285715,30.285714285714285,5.0,3.4285714285714284,65.75714285714285
8,2018-10-06 20:00:00,Ligue 1,9,Sat,Home,W,1,0,Dijon,10194.0,Prince-Désir Gouano,4-2-3-1,Florent Batta,Match Report,,Amiens,8.0,2.0,25.0,0.13,508.0,48.0,172.0,239.0,99.0,10.0,12.0,3.0,25.0,275.0,1483.0,733.0,9.0,12.0,0.0,12.0,7.0,3.0,8.0,1.0,4.0,14.0,28.6,8.0,0.0,5.0,304.0,422.0,18.0,29.0,3.0,3.0,100.0,2018-2019,Amiens_Dijon,1,3,10,-2,11,13,13,0,1,0,0,1,0,0,7.0,-3.0,10.0,13.0,17.0,,,,9.625,2.875,29.1625,0.11,533.5,51.625,171.0,264.0,104.5,12.5,10.5,6.25,61.7,283.0,1635.625,847.125,19.0,10.125,2.75,15.125,8.375,8.375,4.875,1.875,5.75,14.125,38.9,11.75,0.375,6.875,326.25,432.625,26.5,31.0,4.875,3.375,70.0375
9,2018-10-20 17:00:00,Ligue 1,10,Sat,Away,L,0,5,Paris Saint Germain,47497.0,Prince-Désir Gouano,4-4-1-1,Mikael Lesage,Match Report,,Amiens,8.0,2.0,25.0,0.0,528.0,57.0,152.0,264.0,118.0,9.0,13.0,3.0,23.1,304.0,1828.0,869.0,19.0,14.0,5.0,16.0,12.0,8.0,6.0,2.0,7.0,19.0,36.8,10.0,0.0,5.0,355.0,429.0,25.0,34.0,8.0,3.0,37.5,2018-2019,Amiens_Paris Saint Germain,-5,0,10,-7,11,18,17,0,0,0,1,0,0,1,10.0,-2.0,11.0,13.0,13.0,,,,9.444444444444445,2.7777777777777777,28.700000000000003,0.11222222222222222,530.6666666666666,51.22222222222222,171.11111111111111,261.22222222222223,103.88888888888889,12.222222222222221,10.666666666666666,5.888888888888889,57.62222222222223,282.1111111111111,1618.6666666666667,834.4444444444445,17.88888888888889,10.333333333333334,2.4444444444444446,14.777777777777779,8.222222222222221,7.777777777777778,5.222222222222222,1.7777777777777777,5.555555555555555,14.11111111111111,37.75555555555556,11.333333333333334,0.3333333333333333,6.666666666666667,323.77777777777777,431.44444444444446,25.555555555555557,30.77777777777778,4.666666666666667,3.3333333333333335,73.36666666666666
