Saison,Journée,Domicile,Extérieur,Buts domicile,Buts extérieur,Résultat
2002-2003,1,Guingamp,Lyon,3,3,0
2002-2003,1,Troyes,Monaco,0,4,-1
2002-2003,1,Montpellier,Rennes,1,0,1
2002-2003,1,Bastia,Lens,1,1,0
2002-2003,1,Marseille,Nantes,0,2,-1
2002-2003,1,Lille,Bordeaux,0,3,-1
2002-2003,1,Sedan,Sochaux,0,0,0
2002-2003,1,Nice,Le Havre,1,2,-1
2002-2003,1,Paris Saint Germain,Auxerre,1,0,1
2002-2003,1,Strasbourg,Ajaccio,1,1,0
2002-2003,2,Auxerre,Montpellier,2,0,1
2002-2003,2,Bordeaux,Paris Saint Germain,0,0,0
2002-2003,2,Rennes,Troyes,0,0,0
2002-2003,2,Nantes,Bastia,1,0,1
2002-2003,2,Lyon,Sedan,6,1,1
2002-2003,2,Ajaccio,Guingamp,0,2,-1
2002-2003,2,Le Havre,Lille,0,0,0
2002-2003,2,Nice,Strasbourg,4,0,1
2002-2003,2,Monaco,Marseille,0,1,-1
2002-2003,2,Lens,Sochaux,1,1,0
2002-2003,3,Marseille,Lyon,1,1,0
2002-2003,3,Sedan,Lens,0,1,-1
2002-2003,3,Paris Saint Germain,Ajaccio,2,2,0
2002-2003,3,Sochaux,Nantes,4,2,1
2002-2003,3,Bastia,Monaco,1,0,1
2002-2003,3,Troyes,Auxerre,1,2,-1
2002-2003,3,Guingamp,Rennes,3,0,1
2002-2003,3,Lille,Nice,0,3,-1
2002-2003,3,Strasbourg,Le Havre,1,1,0
2002-2003,3,Montpellier,Bordeaux,0,1,-1
2002-2003,4,Lille,Troyes,0,0,0
2002-2003,4,Ajaccio,Sedan,1,0,1
2002-2003,4,Rennes,Marseille,1,3,-1
2002-2003,4,Monaco,Sochaux,1,0,1
2002-2003,4,Lyon,Bastia,4,1,1
2002-2003,4,Nice,Montpellier,2,1,1
2002-2003,4,Auxerre,Guingamp,2,1,1
2002-2003,4,Bordeaux,Strasbourg,1,2,-1
2002-2003,4,Nantes,Lens,2,2,0
2002-2003,4,Le Havre,Paris Saint Germain,0,1,-1
2002-2003,5,Paris Saint Germain,Nice,1,1,0
2002-2003,5,Sochaux,Lyon,2,1,1
2002-2003,5,Troyes,Ajaccio,1,0,1
2002-2003,5,Guingamp,Bordeaux,0,0,0
2002-2003,5,Strasbourg,Lille,2,2,0
2002-2003,5,Lens,Monaco,1,0,1
2002-2003,5,Sedan,Nantes,1,0,1
2002-2003,5,Bastia,Rennes,3,1,1
2002-2003,5,Montpellier,Le Havre,0,0,0
2002-2003,5,Marseille,Auxerre,0,0,0
2002-2003,6,Lyon,Lens,1,0,1
2002-2003,6,Nice,Marseille,2,0,1
2002-2003,6,Rennes,Sochaux,2,2,0
2002-2003,6,Ajaccio,Montpellier,0,0,0
2002-2003,6,Lille,Paris Saint Germain,2,1,1
2002-2003,6,Strasbourg,Sedan,1,1,0
2002-2003,6,Le Havre,Guingamp,1,2,-1
2002-2003,6,Auxerre,Bastia,1,0,1
2002-2003,6,Monaco,Nantes,2,1,1
2002-2003,6,Bordeaux,Troyes,1,0,1
2002-2003,7,Sochaux,Auxerre,1,1,0
2002-2003,7,Guingamp,Nice,0,0,0
2002-2003,7,Montpellier,Lille,1,0,1
2002-2003,7,Sedan,Monaco,2,2,0
2002-2003,7,Nantes,Lyon,1,0,1
2002-2003,7,Paris Saint Germain,Strasbourg,3,0,1
2002-2003,7,Marseille,Bordeaux,2,1,1
2002-2003,7,Lens,Rennes,1,0,1
2002-2003,7,Troyes,Le Havre,1,1,0
2002-2003,7,Bastia,Ajaccio,1,2,-1
2002-2003,8,Ajaccio,Sochaux,0,1,-1
2002-2003,8,Strasbourg,Montpellier,3,2,1
2002-2003,8,Le Havre,Marseille,1,3,-1
2002-2003,8,Rennes,Nantes,1,0,1
2002-2003,8,Bordeaux,Lens,1,0,1
2002-2003,8,Nice,Troyes,1,0,1
2002-2003,8,Lyon,Monaco,1,3,-1
2002-2003,8,Lille,Guingamp,2,1,1
2002-2003,8,Paris Saint Germain,Bastia,1,1,0
2002-2003,9,Marseille,Ajaccio,3,1,1
2002-2003,9,Montpellier,Paris Saint Germain,1,1,0
2002-2003,9,Sochaux,Nice,1,0,1
2002-2003,9,Lens,Lille,0,0,0
2002-2003,9,Sedan,Le Havre,4,0,1
2002-2003,9,Monaco,Rennes,2,1,1
2002-2003,9,Guingamp,Strasbourg,2,3,-1
2002-2003,9,Nantes,Auxerre,1,4,-1
2002-2003,9,Troyes,Lyon,1,1,0
2002-2003,9,Bastia,Bordeaux,2,1,1
2002-2003,10,Lille,Marseille,3,0,1
2002-2003,10,Montpellier,Lens,0,2,-1
2002-2003,10,Ajaccio,Nantes,1,0,1
2002-2003,10,Nice,Bastia,2,0,1
2002-2003,10,Strasbourg,Troyes,2,1,1
2002-2003,10,Le Havre,Sochaux,1,0,1
2002-2003,10,Rennes,Lyon,0,1,-1
2002-2003,10,Bordeaux,Sedan,2,2,0
2002-2003,10,Auxerre,Monaco,1,1,0
