Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,DateTime
2024-01-26,20:00,Eredivisie,Matchweek 19,Fri,Home,,,,Vitesse,,,,,,,,Head-to-Head,,Zwolle,2024-01-26 20:00:00
2024-01-26,20:00,Eredivisie,Matchweek 19,Fri,Away,,,,Zwolle,,,,,,,,Head-to-Head,,Vitesse,2024-01-26 20:00:00
2024-01-27,18:45,Eredivisie,Matchweek 19,Sat,Home,,,,Almere City,,,,,,,,Head-to-Head,,PSV Eindhoven,2024-01-27 18:45:00
2024-01-27,18:45,Eredivisie,Matchweek 19,Sat,Away,,,,RKC Waalwijk,,,,,,,,Head-to-Head,,Sparta Rotterdam,2024-01-27 18:45:00
2024-01-27,18:45,Eredivisie,Matchweek 19,Sat,Away,,,,PSV Eindhoven,,,,,,,,Head-to-Head,,Almere City,2024-01-27 18:45:00
2024-01-27,18:45,Eredivisie,Matchweek 19,Sat,Home,,,,Sparta R'dam,,,,,,,,Head-to-Head,,RKC Waalwijk,2024-01-27 18:45:00
2024-01-27,21:00,Eredivisie,Matchweek 19,Sat,Home,,,,Utrecht,,,,,,,,Head-to-Head,,Excelsior,2024-01-27 21:00:00
2024-01-27,21:00,Eredivisie,Matchweek 19,Sat,Home,,,,Ajax,,,,,,,,Head-to-Head,,Heracles Almelo,2024-01-27 21:00:00
2024-01-27,21:00,Eredivisie,Matchweek 19,Sat,Away,,,,Excelsior,,,,,,,,Head-to-Head,,Utrecht,2024-01-27 21:00:00
2024-01-27,21:00,Eredivisie,Matchweek 19,Sat,Away,,,,Heracles Almelo,,,,,,,,Head-to-Head,,Ajax,2024-01-27 21:00:00
2024-01-28,12:15,Eredivisie,Matchweek 19,Sun,Away,,,,Heerenveen,,,,,,,,Head-to-Head,,AZ Alkmaar,2024-01-28 12:15:00
2024-01-28,12:15,Eredivisie,Matchweek 19,Sun,Home,,,,AZ Alkmaar,,,,,,,,Head-to-Head,,Heerenveen,2024-01-28 12:15:00
2024-01-28,14:30,Eredivisie,Matchweek 19,Sun,Home,,,,Twente,,,,,,,,Head-to-Head,,Feyenoord,2024-01-28 14:30:00
2024-01-28,14:30,Eredivisie,Matchweek 19,Sun,Away,,,,Go Ahead Eag,,,,,,,,Head-to-Head,,NEC Nijmegen,2024-01-28 14:30:00
2024-01-28,14:30,Eredivisie,Matchweek 19,Sun,Away,,,,Feyenoord,,,,,,,,Head-to-Head,,Twente,2024-01-28 14:30:00
2024-01-28,14:30,Eredivisie,Matchweek 19,Sun,Home,,,,NEC Nijmegen,,,,,,,,Head-to-Head,,Go Ahead Eagles,2024-01-28 14:30:00
2024-01-28,16:45,Eredivisie,Matchweek 19,Sun,Away,,,,Volendam,,,,,,,,Head-to-Head,,Fortuna Sittard,2024-01-28 16:45:00
2024-01-28,16:45,Eredivisie,Matchweek 19,Sun,Home,,,,Fortuna Sittard,,,,,,,,Head-to-Head,,Volendam,2024-01-28 16:45:00
2024-02-02,20:00,Eredivisie,Matchweek 20,Fri,Away,,,,Almere City,,,,,,,,Head-to-Head,,Excelsior,2024-02-02 20:00:00
2024-02-02,20:00,Eredivisie,Matchweek 20,Fri,Home,,,,Excelsior,,,,,,,,Head-to-Head,,Almere City,2024-02-02 20:00:00
2024-02-03,16:30,Eredivisie,Matchweek 20,Sat,Home,,,,RKC Waalwijk,,,,,,,,Head-to-Head,,Twente,2024-02-03 16:30:00
2024-02-03,16:30,Eredivisie,Matchweek 20,Sat,Away,,,,Twente,,,,,,,,Head-to-Head,,RKC Waalwijk,2024-02-03 16:30:00
2024-02-03,18:45,Eredivisie,Matchweek 20,Sat,Home,,,,Heerenveen,,,,,,,,Head-to-Head,,Fortuna Sittard,2024-02-03 18:45:00
2024-02-03,18:45,Eredivisie,Matchweek 20,Sat,Away,,,,Fortuna Sittard,,,,,,,,Head-to-Head,,Heerenveen,2024-02-03 18:45:00
2024-02-03,20:00,Eredivisie,Matchweek 20,Sat,Home,,,,PSV Eindhoven,,,,,,,,Head-to-Head,,Ajax,2024-02-03 20:00:00
2024-02-03,20:00,Eredivisie,Matchweek 20,Sat,Away,,,,Ajax,,,,,,,,Head-to-Head,,PSV Eindhoven,2024-02-03 20:00:00
2024-02-03,21:00,Eredivisie,Matchweek 20,Sat,Home,,,,Heracles Almelo,,,,,,,,Head-to-Head,,NEC Nijmegen,2024-02-03 21:00:00
2024-02-03,21:00,Eredivisie,Matchweek 20,Sat,Away,,,,NEC Nijmegen,,,,,,,,Head-to-Head,,Heracles Almelo,2024-02-03 21:00:00
2024-02-04,12:15,Eredivisie,Matchweek 20,Sun,Away,,,,Vitesse,,,,,,,,Head-to-Head,,Go Ahead Eagles,2024-02-04 12:15:00
2024-02-04,12:15,Eredivisie,Matchweek 20,Sun,Home,,,,Go Ahead Eag,,,,,,,,Head-to-Head,,Vitesse,2024-02-04 12:15:00
2024-02-04,14:30,Eredivisie,Matchweek 20,Sun,Away,,,,Utrecht,,,,,,,,Head-to-Head,,Volendam,2024-02-04 14:30:00
2024-02-04,14:30,Eredivisie,Matchweek 20,Sun,Home,,,,Volendam,,,,,,,,Head-to-Head,,Utrecht,2024-02-04 14:30:00
2024-02-04,14:30,Eredivisie,Matchweek 20,Sun,Home,,,,Feyenoord,,,,,,,,Head-to-Head,,AZ Alkmaar,2024-02-04 14:30:00
2024-02-04,14:30,Eredivisie,Matchweek 20,Sun,Away,,,,AZ Alkmaar,,,,,,,,Head-to-Head,,Feyenoord,2024-02-04 14:30:00
2024-02-04,16:45,Eredivisie,Matchweek 20,Sun,Away,,,,Sparta R'dam,,,,,,,,Head-to-Head,,Zwolle,2024-02-04 16:45:00
2024-02-04,16:45,Eredivisie,Matchweek 20,Sun,Home,,,,Zwolle,,,,,,,,Head-to-Head,,Sparta Rotterdam,2024-02-04 16:45:00
2024-02-09,20:00,Eredivisie,Matchweek 21,Fri,Away,,,,RKC Waalwijk,,,,,,,,Head-to-Head,,NEC Nijmegen,2024-02-09 20:00:00
2024-02-09,20:00,Eredivisie,Matchweek 21,Fri,Home,,,,NEC Nijmegen,,,,,,,,Head-to-Head,,RKC Waalwijk,2024-02-09 20:00:00
2024-02-10,18:45,Eredivisie,Matchweek 21,Sat,Away,,,,Excelsior,,,,,,,,Head-to-Head,,Twente,2024-02-10 18:45:00
2024-02-10,18:45,Eredivisie,Matchweek 21,Sat,Home,,,,Twente,,,,,,,,Head-to-Head,,Excelsior,2024-02-10 18:45:00
2024-02-10,20:00,Eredivisie,Matchweek 21,Sat,Home,,,,AZ Alkmaar,,,,,,,,Head-to-Head,,Almere City,2024-02-10 20:00:00
2024-02-10,20:00,Eredivisie,Matchweek 21,Sat,Away,,,,Almere City,,,,,,,,Head-to-Head,,AZ Alkmaar,2024-02-10 20:00:00
2024-02-10,21:00,Eredivisie,Matchweek 21,Sat,Away,,,,Heracles Almelo,,,,,,,,Head-to-Head,,Vitesse,2024-02-10 21:00:00
2024-02-10,21:00,Eredivisie,Matchweek 21,Sat,Home,,,,Vitesse,,,,,,,,Head-to-Head,,Heracles Almelo,2024-02-10 21:00:00
2024-02-11,12:15,Eredivisie,Matchweek 21,Sun,Away,,,,Go Ahead Eag,,,,,,,,Head-to-Head,,Zwolle,2024-02-11 12:15:00
2024-02-11,12:15,Eredivisie,Matchweek 21,Sun,Home,,,,Zwolle,,,,,,,,Head-to-Head,,Go Ahead Eagles,2024-02-11 12:15:00
2024-02-11,14:30,Eredivisie,Matchweek 21,Sun,Home,,,,Fortuna Sittard,,,,,,,,Head-to-Head,,Utrecht,2024-02-11 14:30:00
2024-02-11,14:30,Eredivisie,Matchweek 21,Sun,Home,,,,Ajax,,,,,,,,Head-to-Head,,Heerenveen,2024-02-11 14:30:00
2024-02-11,14:30,Eredivisie,Matchweek 21,Sun,Away,,,,Utrecht,,,,,,,,Head-to-Head,,Fortuna Sittard,2024-02-11 14:30:00
2024-02-11,14:30,Eredivisie,Matchweek 21,Sun,Away,,,,Heerenveen,,,,,,,,Head-to-Head,,Ajax,2024-02-11 14:30:00
2024-02-11,16:45,Eredivisie,Matchweek 21,Sun,Home,,,,PSV Eindhoven,,,,,,,,Head-to-Head,,Volendam,2024-02-11 16:45:00
2024-02-11,16:45,Eredivisie,Matchweek 21,Sun,Away,,,,Volendam,,,,,,,,Head-to-Head,,PSV Eindhoven,2024-02-11 16:45:00
2024-02-11,20:00,Eredivisie,Matchweek 21,Sun,Home,,,,Sparta R'dam,,,,,,,,Head-to-Head,,Feyenoord,2024-02-11 20:00:00
2024-02-11,20:00,Eredivisie,Matchweek 21,Sun,Away,,,,Feyenoord,,,,,,,,Head-to-Head,,Sparta Rotterdam,2024-02-11 20:00:00
