Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,DateTime
2024-01-26,21:00,La Liga,Matchweek 22,Fri,Home,,,,Alavés,,,,,,,,Head-to-Head,,Almeria,2024-01-26 21:00:00
2024-01-26,21:00,La Liga,Matchweek 22,Fri,Away,,,,Almería,,,,,,,,Head-to-Head,,Alaves,2024-01-26 21:00:00
2024-01-27,14:00,La Liga,Matchweek 22,Sat,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,,Rayo Vallecano,2024-01-27 14:00:00
2024-01-27,14:00,La Liga,Matchweek 22,Sat,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,Real Sociedad,2024-01-27 14:00:00
2024-01-27,15:15,La Liga,Matchweek 22,Sat,Away,,,,Las Palmas,,,,,,,,Head-to-Head,,Real Madrid,2024-01-27 15:15:00
2024-01-27,15:15,La Liga,Matchweek 22,Sat,Home,,,,Real Madrid,,,,,,,,Head-to-Head,,Las Palmas,2024-01-27 15:15:00
2024-01-27,18:30,La Liga,Matchweek 22,Sat,Away,,,,Barcelona,,,,,,,,Head-to-Head,,Villarreal,2024-01-27 18:30:00
2024-01-27,18:30,La Liga,Matchweek 22,Sat,Home,,,,Villarreal,,,,,,,,Head-to-Head,,Barcelona,2024-01-27 18:30:00
2024-01-27,21:00,La Liga,Matchweek 22,Sat,Away,,,,Mallorca,,,,,,,,Head-to-Head,,Real Betis,2024-01-27 21:00:00
2024-01-27,21:00,La Liga,Matchweek 22,Sat,Home,,,,Betis,,,,,,,,Head-to-Head,,Mallorca,2024-01-27 21:00:00
2024-01-28,14:00,La Liga,Matchweek 22,Sun,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,,Girona,2024-01-28 14:00:00
2024-01-28,14:00,La Liga,Matchweek 22,Sun,Home,,,,Girona,,,,,,,,Head-to-Head,,Celta Vigo,2024-01-28 14:00:00
2024-01-28,16:15,La Liga,Matchweek 22,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,,Cadiz,2024-01-28 16:15:00
2024-01-28,16:15,La Liga,Matchweek 22,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,,Athletic Club,2024-01-28 16:15:00
2024-01-28,18:30,La Liga,Matchweek 22,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,,Sevilla,2024-01-28 18:30:00
2024-01-28,18:30,La Liga,Matchweek 22,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,,Osasuna,2024-01-28 18:30:00
2024-01-28,21:00,La Liga,Matchweek 22,Sun,Home,,,,Valencia,,,,,,,,Head-to-Head,,Atletico Madrid,2024-01-28 21:00:00
2024-01-28,21:00,La Liga,Matchweek 22,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,Valencia,2024-01-28 21:00:00
2024-01-29,21:00,La Liga,Matchweek 22,Mon,Home,,,,Granada,,,,,,,,Head-to-Head,,Getafe,2024-01-29 21:00:00
2024-01-29,21:00,La Liga,Matchweek 22,Mon,Away,,,,Getafe,,,,,,,,Head-to-Head,,Granada,2024-01-29 21:00:00
2024-01-31,19:00,La Liga,Matchweek 20,Wed,Away,,,,Barcelona,,,,,,,,Head-to-Head,,Osasuna,2024-01-31 19:00:00
2024-01-31,19:00,La Liga,Matchweek 20,Wed,Home,,,,Osasuna,,,,,,,,Head-to-Head,,Barcelona,2024-01-31 19:00:00
2024-01-31,21:00,La Liga,Matchweek 20,Wed,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,Rayo Vallecano,2024-01-31 21:00:00
2024-01-31,21:00,La Liga,Matchweek 20,Wed,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,Atletico Madrid,2024-01-31 21:00:00
2024-02-01,21:00,La Liga,Matchweek 20,Thu,Away,,,,Getafe,,,,,,,,Head-to-Head,,Real Madrid,2024-02-01 21:00:00
2024-02-01,21:00,La Liga,Matchweek 20,Thu,Home,,,,Real Madrid,,,,,,,,Head-to-Head,,Getafe,2024-02-01 21:00:00
2024-02-02,21:00,La Liga,Matchweek 23,Fri,Away,,,,Athletic Club,,,,,,,,Head-to-Head,,Mallorca,2024-02-02 21:00:00
2024-02-02,21:00,La Liga,Matchweek 23,Fri,Home,,,,Mallorca,,,,,,,,Head-to-Head,,Athletic Club,2024-02-02 21:00:00
2024-02-03,14:00,La Liga,Matchweek 23,Sat,Away,,,,Valencia,,,,,,,,Head-to-Head,,Almeria,2024-02-03 14:00:00
2024-02-03,14:00,La Liga,Matchweek 23,Sat,Home,,,,Almería,,,,,,,,Head-to-Head,,Valencia,2024-02-03 14:00:00
2024-02-03,16:15,La Liga,Matchweek 23,Sat,Home,,,,Las Palmas,,,,,,,,Head-to-Head,,Granada,2024-02-03 16:15:00
2024-02-03,16:15,La Liga,Matchweek 23,Sat,Away,,,,Granada,,,,,,,,Head-to-Head,,Las Palmas,2024-02-03 16:15:00
2024-02-03,18:30,La Liga,Matchweek 23,Sat,Home,,,,Barcelona,,,,,,,,Head-to-Head,,Alaves,2024-02-03 18:30:00
2024-02-03,18:30,La Liga,Matchweek 23,Sat,Away,,,,Alavés,,,,,,,,Head-to-Head,,Barcelona,2024-02-03 18:30:00
2024-02-03,21:00,La Liga,Matchweek 23,Sat,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,Girona,2024-02-03 21:00:00
2024-02-03,21:00,La Liga,Matchweek 23,Sat,Away,,,,Girona,,,,,,,,Head-to-Head,,Real Sociedad,2024-02-03 21:00:00
2024-02-04,14:00,La Liga,Matchweek 23,Sun,Away,,,,Villarreal,,,,,,,,Head-to-Head,,Cadiz,2024-02-04 14:00:00
2024-02-04,14:00,La Liga,Matchweek 23,Sun,Home,,,,Cádiz,,,,,,,,Head-to-Head,,Villarreal,2024-02-04 14:00:00
2024-02-04,16:15,La Liga,Matchweek 23,Sun,Away,,,,Osasuna,,,,,,,,Head-to-Head,,Celta Vigo,2024-02-04 16:15:00
2024-02-04,16:15,La Liga,Matchweek 23,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,,Osasuna,2024-02-04 16:15:00
2024-02-04,18:30,La Liga,Matchweek 23,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,,Getafe,2024-02-04 18:30:00
2024-02-04,18:30,La Liga,Matchweek 23,Sun,Home,,,,Getafe,,,,,,,,Head-to-Head,,Real Betis,2024-02-04 18:30:00
2024-02-04,21:00,La Liga,Matchweek 23,Sun,Home,,,,Atlético Madrid,,,,,,,,Head-to-Head,,Real Madrid,2024-02-04 21:00:00
2024-02-04,21:00,La Liga,Matchweek 23,Sun,Away,,,,Real Madrid,,,,,,,,Head-to-Head,,Atletico Madrid,2024-02-04 21:00:00
2024-02-05,21:00,La Liga,Matchweek 23,Mon,Home,,,,Sevilla,,,,,,,,Head-to-Head,,Rayo Vallecano,2024-02-05 21:00:00
