Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,DateTime
2024-01-30,19:30,Premier League,Matchweek 22,Tue,Home,,,,Arsenal,,,,,,,,Head-to-Head,,Nottingham Forest,2024-01-30 19:30:00
2024-01-30,19:30,Premier League,Matchweek 22,Tue,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,,Arsenal,2024-01-30 19:30:00
2024-01-30,19:45,Premier League,Matchweek 22,Tue,Home,,,,Brighton,,,,,,,,Head-to-Head,,Luton Town,2024-01-30 19:45:00
2024-01-30,19:45,Premier League,Matchweek 22,Tue,Away,,,,Fulham,,,,,,,,Head-to-Head,,Everton,2024-01-30 19:45:00
2024-01-30,19:45,Premier League,Matchweek 22,Tue,Home,,,,Everton,,,,,,,,Head-to-Head,,Fulham,2024-01-30 19:45:00
2024-01-30,19:45,Premier League,Matchweek 22,Tue,Away,,,,Luton Town,,,,,,,,Head-to-Head,,Brighton and Hove Albion,2024-01-30 19:45:00
2024-01-30,20:00,Premier League,Matchweek 22,Tue,Home,,,,Sheffield Utd,,,,,,,,Head-to-Head,,Crystal Palace,2024-01-30 20:00:00
2024-01-30,20:00,Premier League,Matchweek 22,Tue,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,,Sheffield United,2024-01-30 20:00:00
2024-01-30,20:15,Premier League,Matchweek 22,Tue,Away,,,,Aston Villa,,,,,,,,Head-to-Head,,Newcastle United,2024-01-30 20:15:00
2024-01-30,20:15,Premier League,Matchweek 22,Tue,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,,Aston Villa,2024-01-30 20:15:00
2024-01-31,19:30,Premier League,Matchweek 22,Wed,Away,,,,Tottenham,,,,,,,,Head-to-Head,,Brentford,2024-01-31 19:30:00
2024-01-31,19:30,Premier League,Matchweek 22,Wed,Home,,,,Burnley,,,,,,,,Head-to-Head,,Manchester City,2024-01-31 19:30:00
2024-01-31,19:30,Premier League,Matchweek 22,Wed,Away,,,,Manchester City,,,,,,,,Head-to-Head,,Burnley,2024-01-31 19:30:00
2024-01-31,19:30,Premier League,Matchweek 22,Wed,Home,,,,Brentford,,,,,,,,Head-to-Head,,Tottenham Hotspur,2024-01-31 19:30:00
2024-01-31,20:15,Premier League,Matchweek 22,Wed,Away,,,,Liverpool,,,,,,,,Head-to-Head,,Chelsea,2024-01-31 20:15:00
2024-01-31,20:15,Premier League,Matchweek 22,Wed,Home,,,,Chelsea,,,,,,,,Head-to-Head,,Liverpool,2024-01-31 20:15:00
2024-02-01,19:30,Premier League,Matchweek 22,Thu,Away,,,,West Ham,,,,,,,,Head-to-Head,,Bournemouth,2024-02-01 19:30:00
2024-02-01,19:30,Premier League,Matchweek 22,Thu,Home,,,,Bournemouth,,,,,,,,Head-to-Head,,West Ham United,2024-02-01 19:30:00
2024-02-01,20:15,Premier League,Matchweek 22,Thu,Home,,,,Manchester Utd,,,,,,,,Head-to-Head,,Wolverhampton Wanderers,2024-02-01 20:15:00
2024-02-01,20:15,Premier League,Matchweek 22,Thu,Away,,,,Wolves,,,,,,,,Head-to-Head,,Manchester United,2024-02-01 20:15:00
2024-02-03,12:30,Premier League,Matchweek 23,Sat,Home,,,,Tottenham,,,,,,,,Head-to-Head,,Everton,2024-02-03 12:30:00
2024-02-03,12:30,Premier League,Matchweek 23,Sat,Away,,,,Everton,,,,,,,,Head-to-Head,,Tottenham Hotspur,2024-02-03 12:30:00
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Home,,,,Luton Town,,,,,,,,Head-to-Head,,Newcastle United,2024-02-03 15:00:00
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Away,,,,Brighton,,,,,,,,Head-to-Head,,Crystal Palace,2024-02-03 15:00:00
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,,Luton Town,2024-02-03 15:00:00
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,,Brighton and Hove Albion,2024-02-03 15:00:00
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Home,,,,Fulham,,,,,,,,Head-to-Head,,Burnley,2024-02-03 15:00:00
2024-02-03,15:00,Premier League,Matchweek 23,Sat,Away,,,,Burnley,,,,,,,,Head-to-Head,,Fulham,2024-02-03 15:00:00
2024-02-03,17:30,Premier League,Matchweek 23,Sat,Away,,,,Sheffield Utd,,,,,,,,Head-to-Head,,Aston Villa,2024-02-03 17:30:00
2024-02-03,17:30,Premier League,Matchweek 23,Sat,Home,,,,Aston Villa,,,,,,,,Head-to-Head,,Sheffield United,2024-02-03 17:30:00
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Home,,,,Nott'ham Forest,,,,,,,,Head-to-Head,,Bournemouth,2024-02-04 14:00:00
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Away,,,,Chelsea,,,,,,,,Head-to-Head,,Wolverhampton Wanderers,2024-02-04 14:00:00
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Away,,,,Bournemouth,,,,,,,,Head-to-Head,,Nottingham Forest,2024-02-04 14:00:00
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,,West Ham United,2024-02-04 14:00:00
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Home,,,,West Ham,,,,,,,,Head-to-Head,,Manchester United,2024-02-04 14:00:00
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Home,,,,Wolves,,,,,,,,Head-to-Head,,Chelsea,2024-02-04 14:00:00
2024-02-04,16:30,Premier League,Matchweek 23,Sun,Away,,,,Arsenal,,,,,,,,Head-to-Head,,Liverpool,2024-02-04 16:30:00
2024-02-04,16:30,Premier League,Matchweek 23,Sun,Home,,,,Liverpool,,,,,,,,Head-to-Head,,Arsenal,2024-02-04 16:30:00
2024-02-05,20:00,Premier League,Matchweek 23,Mon,Home,,,,Manchester City,,,,,,,,Head-to-Head,,Brentford,2024-02-05 20:00:00
2024-02-05,20:00,Premier League,Matchweek 23,Mon,Away,,,,Brentford,,,,,,,,Head-to-Head,,Manchester City,2024-02-05 20:00:00
