Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,DateTime
2024-01-26,20:45,Serie A,Matchweek 22,Fri,Away,,,,Cagliari,,,,,,,,Head-to-Head,,Torino,2024-01-26 20:45:00
2024-01-26,20:45,Serie A,Matchweek 22,Fri,Home,,,,Torino,,,,,,,,Head-to-Head,,Cagliari,2024-01-26 20:45:00
2024-01-27,15:00,Serie A,Matchweek 22,Sat,Home,,,,Udinese,,,,,,,,Head-to-Head,,Atalanta,2024-01-27 15:00:00
2024-01-27,15:00,Serie A,Matchweek 22,Sat,Away,,,,Atalanta,,,,,,,,Head-to-Head,,Udinese,2024-01-27 15:00:00
2024-01-27,18:00,Serie A,Matchweek 22,Sat,Home,,,,Empoli,,,,,,,,Head-to-Head,,Juventus,2024-01-27 18:00:00
2024-01-27,18:00,Serie A,Matchweek 22,Sat,Away,,,,Juventus,,,,,,,,Head-to-Head,,Empoli,2024-01-27 18:00:00
2024-01-27,20:45,Serie A,Matchweek 22,Sat,Away,,,,Milan,,,,,,,,Head-to-Head,,Bologna,2024-01-27 20:45:00
2024-01-27,20:45,Serie A,Matchweek 22,Sat,Home,,,,Bologna,,,,,,,,Head-to-Head,,Milan,2024-01-27 20:45:00
2024-01-28,12:30,Serie A,Matchweek 22,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,,Genoa,2024-01-28 12:30:00
2024-01-28,12:30,Serie A,Matchweek 22,Sun,Away,,,,Genoa,,,,,,,,Head-to-Head,,Lecce,2024-01-28 12:30:00
2024-01-28,15:00,Serie A,Matchweek 22,Sun,Home,,,,Frosinone,,,,,,,,Head-to-Head,,Hellas Verona,2024-01-28 15:00:00
2024-01-28,15:00,Serie A,Matchweek 22,Sun,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,,Frosinone,2024-01-28 15:00:00
2024-01-28,15:00,Serie A,Matchweek 22,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,Monza,2024-01-28 15:00:00
2024-01-28,15:00,Serie A,Matchweek 22,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,,Sassuolo,2024-01-28 15:00:00
2024-01-28,18:00,Serie A,Matchweek 22,Sun,Home,,,,Napoli,,,,,,,,Head-to-Head,,Lazio,2024-01-28 18:00:00
2024-01-28,18:00,Serie A,Matchweek 22,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,,Napoli,2024-01-28 18:00:00
2024-01-28,20:45,Serie A,Matchweek 22,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,,Fiorentina,2024-01-28 20:45:00
2024-01-28,20:45,Serie A,Matchweek 22,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,,Internazionale,2024-01-28 20:45:00
2024-01-29,20:45,Serie A,Matchweek 22,Mon,Home,,,,Roma,,,,,,,,Head-to-Head,,Salernitana,2024-01-29 20:45:00
2024-01-29,20:45,Serie A,Matchweek 22,Mon,Away,,,,Salernitana,,,,,,,,Head-to-Head,,Roma,2024-01-29 20:45:00
2024-02-02,20:45,Serie A,Matchweek 23,Fri,Away,,,,Lecce,,,,,,,,Head-to-Head,,Fiorentina,2024-02-02 20:45:00
