Saison,Équipes,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38
2002-2003,AS Monaco FC,1,8,13,9,12,6,9,5,4,4,7,6,8,9,8,10,7,6,3,4,6,6,6,5,2,2,2,2,1,1,1,2,2,1,3,2,3,2
2002-2003,FC Girondins de Bordeaux,2,3,2,6,7,5,7,3,7,10,10,11,11,10,11,11,12,13,11,12,9,9,7,7,6,6,7,6,4,4,4,4,4,4,4,4,4,4
2002-2003,FC Nantes Atlantique,3,1,5,7,10,11,11,11,13,16,15,16,16,15,13,13,8,10,9,9,11,11,9,10,9,9,8,8,8,5,6,5,7,8,10,10,11,9
2002-2003,Havre AC,4,5,8,12,13,14,14,17,19,17,17,17,17,18,18,19,17,16,17,17,17,18,18,18,15,15,14,14,14,14,14,14,15,17,18,19,19,18
2002-2003,Montpellier Hérault SC,5,10,14,16,17,17,13,16,15,18,18,18,18,17,17,18,19,20,20,19,19,20,20,20,20,20,19,20,18,17,18,15,17,15,14,14,15,16
2002-2003,Paris Saint-Germain FC,5,6,8,4,4,8,4,6,6,3,3,2,2,3,4,7,10,7,10,8,10,8,10,8,8,8,10,12,9,9,7,8,9,9,8,9,9,11
2002-2003,EA Guingamp,7,4,1,5,6,4,3,8,11,12,11,12,10,11,9,5,4,3,6,3,7,7,8,9,12,11,12,11,12,12,12,10,10,10,9,7,7,7
2002-2003,Olympique Lyonnais,7,2,6,3,5,3,6,10,10,9,6,4,5,2,2,2,1,2,4,5,2,5,2,2,5,5,5,4,3,3,3,1,1,2,1,1,1,1
2002-2003,AC Ajaccio,9,16,15,13,15,15,12,13,17,13,14,14,15,13,14,15,16,18,18,18,18,17,17,17,17,16,17,17,17,19,17,18,18,19,19,16,16,17
2002-2003,SC Bastia,9,14,11,15,11,12,15,15,12,14,12,13,13,14,15,14,14,15,15,14,15,13,13,11,10,10,9,9,11,11,11,12,12,12,12,12,12,12
2002-2003,RC Lens,9,12,8,10,3,8,5,9,8,7,8,9,7,8,6,9,11,9,8,10,8,10,11,12,11,12,11,10,10,10,10,11,11,11,11,11,10,8
2002-2003,RC Strasbourg,9,18,16,14,14,13,16,12,9,8,9,8,9,7,10,6,9,11,12,13,13,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2002-2003,CS Sedan Ardennes,13,20,19,20,18,19,18,19,16,15,16,15,14,16,16,16,15,14,14,16,16,16,16,15,18,18,18,18,19,18,19,19,19,18,17,18,18,19
2002-2003,FC Sochaux-Montbéliard,13,13,7,11,8,7,10,7,5,6,5,7,6,6,5,8,6,8,7,6,3,4,5,3,7,7,6,5,7,8,5,7,5,5,5,5,5,5
2002-2003,OGC Nice,15,7,3,1,1,1,1,1,2,2,1,3,3,1,1,1,2,1,2,2,1,2,3,6,3,4,4,7,6,7,9,9,6,7,7,8,8,10
2002-2003,AJ Auxerre,16,9,4,2,2,2,2,2,1,1,2,1,1,4,7,4,3,4,5,7,4,1,1,4,1,1,3,3,5,6,8,6,8,6,6,6,6,6
2002-2003,Stade Rennais FC,16,15,17,19,20,20,20,20,20,20,19,20,19,20,20,20,20,17,16,15,14,15,15,16,16,17,16,16,15,15,16,17,14,14,16,17,17,15
2002-2003,Olympique de Marseille,18,10,12,8,9,10,8,4,3,5,4,5,4,5,3,3,5,5,1,1,5,3,4,1,4,3,1,1,2,2,2,3,3,3,2,3,2,3
2002-2003,Lille OSC,19,17,20,18,19,16,19,14,14,11,13,10,12,12,12,12,13,12,13,11,12,14,14,14,14,14,15,15,16,16,15,16,16,16,15,15,14,14
2002-2003,ESTAC Troyes,20,19,18,17,16,18,17,18,18,19,20,19,20,19,19,17,18,19,19,20,20,19,19,19,19,19,20,19,20,20,20,20,20,20,20,20,20,20
2003-2004,AS Monaco FC,1,11,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,2,2,3,3
2003-2004,OGC Nice,2,1,2,5,6,4,3,4,6,7,7,12,8,10,9,8,8,8,7,7,9,8,7,9,8,8,8,8,7,9,9,9,10,11,12,12,12,11
2003-2004,FC Sochaux-Montbéliard,2,12,10,13,10,7,4,7,9,10,10,9,6,5,5,3,3,3,3,3,5,4,5,5,5,4,4,4,4,4,4,4,5,4,4,5,5,5
2003-2004,AC Ajaccio,4,2,7,7,10,14,12,15,16,17,17,16,17,17,15,17,17,17,16,15,15,15,15,16,16,15,15,17,18,16,17,17,18,18,19,17,18,15
2003-2004,Lille OSC,4,2,1,1,3,3,8,12,13,12,15,16,16,16,17,15,15,15,14,14,14,13,13,11,12,11,11,10,10,11,10,10,11,12,9,10,9,10
2003-2004,Olympique de Marseille,4,2,6,4,2,1,2,2,2,2,2,3,3,3,3,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
2003-2004,Montpellier Hérault SC,7,6,12,15,10,17,17,17,17,14,11,7,11,9,10,11,13,13,15,16,17,16,16,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20
2003-2004,Stade Rennais FC,7,6,8,10,14,10,14,11,12,11,14,15,14,14,14,14,14,14,12,12,11,11,11,13,11,12,12,12,12,12,12,12,12,10,11,11,11,9
2003-2004,RC Strasbourg,7,5,9,11,7,5,10,6,7,6,6,7,9,11,11,12,9,10,10,11,12,12,12,12,13,13,13,14,14,14,14,14,14,15,14,13,14,13
2003-2004,Toulouse FC,7,13,18,19,20,19,18,19,18,18,18,19,19,19,20,20,20,20,20,20,19,19,20,20,19,18,17,15,16,18,18,18,17,17,17,18,16,16
2003-2004,SC Bastia,11,16,19,16,13,8,13,9,10,8,8,10,12,13,13,10,12,12,13,13,13,14,14,14,14,14,14,13,13,13,13,13,13,14,13,15,15,17
2003-2004,Le Mans UC 72,11,14,17,18,19,20,20,20,20,20,20,20,20,20,19,19,19,19,18,19,18,18,19,19,20,20,20,20,20,20,20,20,20,19,18,19,19,19
2003-2004,RC Lens,11,16,12,8,5,9,6,10,11,13,9,6,5,8,6,6,7,7,8,9,10,10,10,10,10,10,10,9,9,8,8,8,9,9,8,9,8,8
2003-2004,Paris Saint-Germain FC,11,14,11,13,17,14,11,8,5,3,4,4,4,4,4,4,4,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2
2003-2004,AJ Auxerre,15,18,15,17,15,14,9,13,8,9,12,11,7,6,7,7,5,5,6,5,4,3,2,4,4,5,5,5,5,5,5,5,4,5,5,4,4,4
2003-2004,FC Nantes Atlantique,15,8,3,3,3,6,5,5,4,4,5,5,10,7,8,9,10,9,9,10,8,7,9,7,7,7,7,7,8,7,7,7,7,6,6,6,6,6
2003-2004,EA Guingamp,17,19,20,20,18,18,19,18,19,19,19,18,18,18,18,18,18,18,19,18,20,20,18,17,17,17,18,16,17,15,15,15,15,16,16,16,17,18
2003-2004,Olympique Lyonnais,17,8,4,6,8,11,7,3,3,5,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1
2003-2004,FC Metz,17,10,14,12,16,12,15,16,14,15,13,14,15,15,16,16,16,16,17,17,16,17,17,15,15,16,16,18,15,17,16,16,16,13,15,14,13,14
2003-2004,FC Girondins de Bordeaux,20,19,16,9,8,13,16,14,15,16,16,13,13,12,12,13,11,11,11,8,7,9,8,8,9,9,9,11,11,10,11,11,8,8,10,8,10,12
2004-2005,Lille OSC,1,12,13,13,13,8,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,2,3,2,2,2,2,2,2
2004-2005,SC Bastia,2,6,4,5,3,3,7,8,11,12,15,16,15,17,18,17,17,17,18,18,19,17,19,19,19,19,19,18,19,19,19,19,19,18,18,19,18,19
2004-2005,Stade Rennais FC,2,11,8,10,12,11,9,10,15,15,11,12,13,14,15,9,13,12,13,12,12,10,11,9,10,9,9,8,9,10,8,6,6,5,5,6,4,4
2004-2005,Olympique Lyonnais,4,7,10,6,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004-2005,Olympique de Marseille,4,1,3,8,10,7,11,6,5,5,5,5,6,6,7,5,3,5,5,5,5,5,5,5,4,2,2,2,2,2,3,4,4,4,4,4,5,5
2004-2005,FC Metz,4,2,4,1,2,6,6,9,7,10,13,8,7,8,9,10,14,13,14,13,13,13,13,12,13,12,14,14,15,15,16,15,14,13,14,15,14,16
2004-2005,AS Monaco FC,4,2,7,9,5,1,1,1,3,4,4,4,5,5,6,7,6,3,4,3,3,3,4,3,3,4,4,4,4,3,4,2,3,3,3,3,3,3
2004-2005,FC Sochaux-Montbéliard,4,7,12,12,11,13,14,13,14,9,8,6,4,4,3,3,4,7,8,9,10,7,7,7,6,8,6,9,7,7,7,8,7,9,10,10,8,10
2004-2005,SM Caen,9,13,9,11,9,12,12,12,13,14,11,12,14,9,10,14,15,15,16,15,17,18,16,16,17,17,17,17,17,17,18,18,18,19,19,18,17,18
2004-2005,FC Istres,9,15,16,16,16,18,20,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2004-2005,RC Lens,11,5,1,3,8,10,10,11,12,13,16,15,16,16,16,15,10,14,12,14,14,14,14,13,11,10,10,10,11,9,10,10,11,11,9,8,9,7
2004-2005,Toulouse FC,11,4,2,4,1,5,8,7,8,11,7,11,11,10,8,8,8,8,6,6,6,6,6,6,7,6,7,6,6,6,6,7,8,10,11,11,11,13
2004-2005,Paris Saint-Germain FC,13,14,14,14,14,17,18,16,16,16,14,14,10,12,12,12,12,11,10,10,9,9,10,11,12,13,12,12,12,12,11,11,10,7,8,9,10,9
2004-2005,RC Strasbourg,13,18,17,17,18,19,19,20,20,20,19,19,18,18,17,18,18,18,15,17,16,16,18,17,16,15,16,15,16,16,14,13,13,14,13,12,12,11
2004-2005,AC Ajaccio,15,17,20,20,20,20,17,18,18,18,18,17,19,19,19,19,19,19,19,19,18,19,17,18,18,18,18,19,18,18,17,17,16,16,16,17,16,14
2004-2005,FC Girondins de Bordeaux,15,9,11,7,7,9,4,4,6,6,6,7,8,7,5,6,7,6,7,7,7,11,8,10,9,11,11,11,10,11,12,12,12,12,12,13,15,15
2004-2005,FC Nantes Atlantique,15,16,15,15,15,14,15,14,9,7,9,9,9,11,14,16,16,16,17,16,15,15,15,15,15,16,15,16,13,13,15,16,15,15,15,16,19,17
2004-2005,OGC Nice,15,20,19,19,19,15,16,15,10,8,10,10,12,13,13,13,9,9,11,11,11,12,12,14,14,14,13,13,14,14,13,14,17,17,17,14,13,12
2004-2005,AS Saint-Etienne,15,19,18,18,17,16,13,17,17,17,17,17,17,15,11,11,11,10,9,8,8,8,9,8,8,7,8,7,8,8,9,9,9,8,7,7,6,6
2004-2005,AJ Auxerre,20,10,6,2,6,2,5,5,4,3,3,3,3,3,4,4,5,4,3,4,4,4,3,4,5,5,5,5,5,5,5,5,5,6,6,5,7,8
2005-2006,Paris Saint-Germain FC,1,2,1,1,3,2,4,2,2,2,2,2,4,4,2,4,6,4,6,3,4,4,5,5,6,6,6,8,7,10,8,8,8,8,8,8,9,9
2005-2006,FC Girondins de Bordeaux,2,3,5,4,4,5,7,6,3,3,3,3,2,2,3,3,3,3,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2005-2006,FC Nantes Atlantique,2,1,4,5,6,10,8,9,10,15,15,16,14,11,13,12,13,12,13,14,13,14,13,14,15,12,13,14,14,14,14,14,14,14,13,14,14,14
2005-2006,Olympique Lyonnais,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005-2006,Lille OSC,5,7,13,13,12,8,6,8,5,7,10,5,7,5,7,5,7,8,8,4,6,5,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3
2005-2006,AS Monaco FC,5,9,7,10,10,12,15,12,13,11,6,9,8,9,6,8,5,6,5,8,8,9,9,6,5,5,7,9,11,9,10,10,11,10,10,11,11,10
2005-2006,Toulouse FC,5,9,15,15,15,17,17,17,14,10,12,14,15,15,16,16,16,14,15,16,16,13,15,15,13,14,14,15,15,15,15,15,15,15,15,15,15,16
2005-2006,OGC Nice,8,5,12,12,7,11,13,11,9,14,14,13,13,14,14,14,15,13,14,13,14,15,14,11,10,11,10,11,12,12,11,11,10,11,11,9,8,8
2005-2006,ESTAC Troyes,8,12,10,9,13,9,11,14,17,17,17,18,18,16,17,17,17,17,16,15,15,16,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17
2005-2006,AC Ajaccio,10,11,8,7,8,6,9,10,11,13,16,15,16,18,18,18,18,18,19,19,19,20,18,18,18,18,18,19,20,20,19,20,20,19,19,19,18,18
2005-2006,AJ Auxerre,10,6,2,6,11,13,10,7,4,5,4,7,5,6,4,2,2,2,4,2,3,3,3,3,3,3,4,4,4,4,4,4,6,6,7,7,7,6
2005-2006,AS Saint-Etienne,10,13,9,8,9,7,3,5,8,4,5,4,3,3,5,7,9,9,9,9,7,8,10,10,11,13,15,13,13,13,13,13,13,13,12,13,13,13
2005-2006,RC Strasbourg,10,15,16,17,17,19,19,19,19,19,19,19,19,20,20,20,20,19,20,20,20,18,19,19,19,19,19,18,18,18,18,18,18,18,18,18,19,19
2005-2006,Le Mans UC 72,14,14,11,11,5,4,2,3,6,8,11,6,10,7,10,11,11,11,11,11,12,11,8,8,9,8,5,6,8,7,9,9,9,9,9,10,10,11
2005-2006,AS Nancy Lorraine,15,17,19,20,16,18,18,18,16,12,9,12,12,13,12,13,12,15,12,12,11,12,12,12,12,10,9,10,10,11,12,12,12,12,14,12,12,12
2005-2006,Stade Rennais FC,15,19,20,16,19,14,12,13,15,16,13,11,9,10,8,10,8,10,10,10,10,10,11,13,14,15,12,12,9,8,6,5,4,3,4,5,5,7
2005-2006,FC Sochaux-Montbéliard,15,17,14,14,14,15,16,15,18,18,18,17,17,17,15,15,14,16,17,17,17,17,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,15
2005-2006,RC Lens,18,8,6,3,2,3,5,4,7,6,8,8,6,8,9,6,4,5,2,4,5,7,7,9,8,9,11,7,6,6,7,6,5,5,6,6,6,4
2005-2006,Olympique de Marseille,18,19,17,19,20,16,13,16,12,9,7,10,11,12,11,9,10,7,7,7,9,6,6,7,7,7,8,5,5,5,5,7,7,7,5,4,4,5
2005-2006,FC Metz,20,16,18,18,18,20,20,20,20,20,20,20,20,19,19,19,19,20,18,18,18,19,20,20,20,20,20,20,19,19,20,19,19,20,20,20,20,20
2006-2007,Olympique Lyonnais,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006-2007,FC Girondins de Bordeaux,2,3,5,10,6,9,7,10,5,9,8,9,10,8,6,8,9,8,8,8,7,7,9,7,9,7,6,5,3,3,4,4,3,2,3,4,4,6
2006-2007,FC Lorient,3,8,9,7,7,10,10,12,14,15,13,11,9,10,11,12,11,12,12,13,12,11,7,10,11,12,13,12,13,12,11,10,10,10,11,10,12,14
2006-2007,Lille OSC,4,1,4,3,3,6,9,5,6,5,4,3,2,2,2,3,3,4,5,5,4,2,3,3,3,6,3,3,4,6,9,7,8,9,10,9,10,10
