Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2002-2003,1,Ajaccio,Strasbourg,Extérieur,1,1,0,,,,,,,,,,,,,0
2002-2003,2,Ajaccio,Guingamp,Domicile,0,2,-1,9,7,1.0,3.0,,,1.0,3.0,,,0.0,0.0,0
2002-2003,3,Ajaccio,PSG,Extérieur,2,2,0,16,6,0.5,0.5,1.0,1.0,1.5,0.0,1.0,0.0,-1.0,1.0,0
2002-2003,4,Ajaccio,Sedan Ardennes,Domicile,1,0,1,15,19,1.0,0.3333333333333333,0.0,1.0,1.6666666666666667,2.3333333333333335,2.0,6.0,-1.0,-2.0,0
2002-2003,5,Ajaccio,Troyes,Extérieur,0,1,-1,13,17,1.0,0.25,1.5,0.5,1.25,1.5,1.5,3.0,0.0,-2.0,0
2002-2003,6,Ajaccio,Montpellier,Domicile,0,0,0,15,17,0.8,0.4,0.5,0.5,1.2,1.0,1.0,2.0,-1.0,-2.0,0
2002-2003,7,Ajaccio,Bastia,Extérieur,2,1,1,15,12,0.6666666666666666,1.0,1.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,-1.0,-1.0,0
2002-2003,8,Ajaccio,Sochaux,Domicile,0,1,-1,12,10,0.8571428571428571,1.4285714285714286,0.3333333333333333,0.75,1.0,1.1428571428571428,0.6666666666666666,1.0,1.0,1.0,0
2002-2003,9,Ajaccio,Marseille,Extérieur,1,3,-1,13,4,0.75,1.25,1.25,0.75,1.0,1.0,1.25,1.0,0.0,2.0,0
2002-2003,10,Ajaccio,Nantes,Domicile,1,0,1,17,13,0.7777777777777778,1.1111111111111112,0.25,1.0,1.2222222222222223,1.5555555555555556,0.75,1.6,-2.0,-3.0,0
2002-2003,11,Ajaccio,Lens,Extérieur,1,1,0,13,7,0.8,0.9,1.2,0.75,1.1,0.6,1.6,0.25,0.0,0.0,0
2002-2003,12,Ajaccio,Lyon,Domicile,0,1,-1,14,6,0.8181818181818182,2.0,0.4,1.1666666666666667,1.0909090909090908,1.1818181818181819,0.6,1.3333333333333333,0.0,0.0,0
