Saison,Journée,Domicile,Extérieur,Buts domicile,Buts extérieur,Résultat
2022-2023,1,Lyon,Ajaccio,2,1,D
2022-2023,1,Strasbourg,Monaco,1,2,E
2022-2023,1,Clermont,PSG,0,5,E
2022-2023,1,Toulouse,Nice,1,1,N
2022-2023,1,Angers,Nantes,0,0,N
2022-2023,1,Lens,Brest,3,2,D
2022-2023,1,Montpellier,Troyes,3,2,D
2022-2023,1,Lille,Auxerre,4,1,D
2022-2023,1,Rennais,Lorient,0,1,E
2022-2023,1,Marseille,Reims,4,1,D
2022-2023,2,Nantes,Lille,1,1,N
2022-2023,2,Monaco,Rennais,1,1,N
2022-2023,2,PSG,Montpellier,5,2,D
2022-2023,2,Ajaccio,Lens,0,0,N
2022-2023,2,Reims,Clermont,2,4,E
2022-2023,2,Troyes,Toulouse,0,3,E
2022-2023,2,Auxerre,Angers,2,2,N
2022-2023,2,Nice,Strasbourg,1,1,N
2022-2023,2,Brest,Marseille,1,1,N
2022-2023,2,Lorient,Lyon,3,1,D
2022-2023,3,Lyon,Troyes,4,1,D
2022-2023,3,Monaco,Lens,1,4,E
2022-2023,3,Marseille,Nantes,2,1,D
2022-2023,3,Strasbourg,Reims,1,1,N
2022-2023,3,Toulouse,Lorient,2,2,N
2022-2023,3,Angers,Brest,1,3,E
2022-2023,3,Clermont,Nice,1,0,D
2022-2023,3,Montpellier,Auxerre,1,2,E
2022-2023,3,Rennais,Ajaccio,2,1,D
2022-2023,3,Lille,PSG,1,7,E
2022-2023,4,Ajaccio,Lille,1,3,E
2022-2023,4,Auxerre,Strasbourg,1,0,D
2022-2023,4,Lens,Rennais,2,1,D
2022-2023,4,Nantes,Toulouse,3,1,D
2022-2023,4,Brest,Montpellier,0,7,E
2022-2023,4,Nice,Marseille,0,3,E
2022-2023,4,Lorient,Clermont,2,1,D
2022-2023,4,Troyes,Angers,3,1,D
2022-2023,4,Reims,Lyon,1,1,N
2022-2023,4,PSG,Monaco,1,1,N
2022-2023,5,Lyon,Auxerre,2,1,D
2022-2023,5,Strasbourg,Nantes,1,1,N
2022-2023,5,Angers,Reims,2,4,E
2022-2023,5,Monaco,Troyes,2,4,E
2022-2023,5,Montpellier,Ajaccio,2,0,D
2022-2023,5,Lille,Nice,1,2,E
2022-2023,5,Lens,Lorient,5,2,D
2022-2023,5,Rennais,Brest,3,1,D
2022-2023,5,Toulouse,PSG,0,3,E
2022-2023,5,Marseille,Clermont,1,0,D
2022-2023,6,Auxerre,Marseille,0,2,E
2022-2023,6,Lyon,Angers,5,0,D
2022-2023,6,Nantes,PSG,0,3,E
2022-2023,6,Montpellier,Lille,1,3,E
2022-2023,6,Brest,Strasbourg,1,1,N
2022-2023,6,Ajaccio,Lorient,0,1,E
2022-2023,6,Reims,Lens,1,1,N
2022-2023,6,Clermont,Toulouse,2,0,D
2022-2023,6,Troyes,Rennais,1,1,N
2022-2023,6,Nice,Monaco,0,1,E
2022-2023,7,Lens,Troyes,1,0,D
2022-2023,7,PSG,Brest,1,0,D
2022-2023,7,Marseille,Lille,2,1,D
2022-2023,7,Strasbourg,Clermont,0,0,N
2022-2023,7,Toulouse,Reims,1,0,D
2022-2023,7,Ajaccio,Nice,0,1,E
2022-2023,7,Lorient,Nantes,3,2,D
2022-2023,7,Angers,Montpellier,2,1,D
2022-2023,7,Rennais,Auxerre,5,0,D
2022-2023,7,Monaco,Lyon,2,1,D
2022-2023,8,Auxerre,Lorient,1,3,E
2022-2023,8,Montpellier,Strasbourg,2,1,D
2022-2023,8,Lille,Toulouse,2,1,D
2022-2023,8,Reims,Monaco,0,3,E
2022-2023,8,Marseille,Rennais,1,1,N
2022-2023,8,Nice,Angers,0,1,E
2022-2023,8,Brest,Ajaccio,0,1,E
2022-2023,8,Clermont,Troyes,1,3,E
2022-2023,8,Nantes,Lens,0,0,N
2022-2023,8,Lyon,PSG,0,1,E
2022-2023,9,Angers,Marseille,0,3,E
2022-2023,9,Strasbourg,Rennais,1,3,E
2022-2023,9,PSG,Nice,2,1,D
2022-2023,9,Lorient,Lille,2,1,D
2022-2023,9,Toulouse,Montpellier,4,2,D
2022-2023,9,Ajaccio,Clermont,1,3,E
2022-2023,9,Troyes,Reims,2,2,N
2022-2023,9,Auxerre,Brest,1,1,N
2022-2023,9,Monaco,Nantes,4,1,D
2022-2023,9,Lens,Lyon,1,0,D
2022-2023,10,Lyon,Toulouse,1,1,N
2022-2023,10,Marseille,Ajaccio,1,2,E
2022-2023,10,Reims,PSG,0,0,N
2022-2023,10,Montpellier,Monaco,0,2,E
2022-2023,10,Nice,Troyes,3,2,D
2022-2023,10,Brest,Lorient,1,2,E
2022-2023,10,Angers,Strasbourg,2,3,E
2022-2023,10,Clermont,Auxerre,2,1,D
2022-2023,10,Rennais,Nantes,3,0,D
2022-2023,10,Lille,Lens,1,0,D
2022-2023,11,Strasbourg,Lille,0,3,E
2022-2023,11,Lorient,Reims,0,0,N
2022-2023,11,Lens,Montpellier,1,0,D
2022-2023,11,Toulouse,Angers,3,2,D
2022-2023,11,Auxerre,Nice,1,1,N
